iter	Passed	Remaining
0	1	105
1	1	68
2	1	55
3	2	48
4	2	44
5	2	42
6	3	41
7	3	39
8	3	37
9	4	36
10	4	35
11	4	35
12	5	34
13	5	33
14	5	32
15	6	32
16	6	31
17	6	31
18	7	30
19	7	30
20	7	29
21	8	29
22	8	28
23	8	28
24	9	28
25	9	27
26	10	27
27	10	27
28	10	26
29	11	26
30	11	25
31	11	25
32	12	24
33	12	24
34	12	23
35	13	23
36	13	22
37	13	22
38	14	22
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	16	19
45	16	19
46	16	18
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	21	15
58	21	14
59	21	14
60	22	14
61	22	13
62	22	13
63	23	13
64	23	12
65	23	12
66	24	11
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	26	9
74	27	9
75	27	8
76	27	8
77	28	7
78	28	7
79	28	7
80	29	6
81	29	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
