iter	Passed	Remaining
0	0	432
1	0	413
2	1	394
3	1	393
4	1	392
5	2	391
6	2	391
7	3	401
8	3	394
9	3	392
10	4	400
11	4	404
12	5	402
13	5	398
14	6	395
15	6	397
16	7	407
17	7	405
18	7	403
19	8	405
20	8	404
21	9	400
22	9	400
23	9	400
24	10	398
25	10	396
26	10	396
27	11	393
28	11	394
29	12	394
30	12	395
31	13	393
32	13	393
33	13	392
34	14	392
35	14	391
36	15	390
37	15	389
38	15	387
39	16	385
40	16	385
41	16	383
42	17	384
43	17	382
44	17	381
45	18	380
46	18	379
47	19	377
48	19	377
49	19	377
50	20	376
51	20	376
52	21	376
53	21	376
54	21	375
55	22	374
56	22	375
57	23	376
58	23	375
59	23	374
60	24	373
61	24	371
62	24	370
63	25	370
64	25	370
65	26	370
66	26	369
67	27	372
68	27	373
69	28	375
70	28	374
71	29	374
72	29	373
73	29	373
74	30	373
75	30	372
76	31	372
77	31	371
78	31	370
79	32	369
80	32	368
81	32	368
82	33	366
83	33	367
84	34	367
85	34	366
86	34	365
87	35	365
88	35	364
89	36	364
90	36	363
91	36	363
92	37	363
93	37	364
94	38	363
95	38	363
96	39	363
97	39	363
98	39	363
99	40	364
100	40	364
101	41	364
102	41	364
103	42	364
104	42	365
105	43	364
106	43	364
107	44	363
108	44	363
109	44	362
110	45	363
111	45	362
112	46	361
113	46	361
114	46	361
115	47	360
116	47	359
117	48	359
118	48	358
119	48	358
120	49	357
121	49	355
122	49	355
123	50	354
124	50	353
125	50	352
126	51	351
127	51	351
128	51	350
129	52	349
130	52	350
131	53	349
132	53	349
133	53	348
134	54	348
135	54	347
136	55	347
137	55	346
138	55	345
139	56	345
140	56	344
141	56	343
142	57	342
143	57	342
144	58	342
145	58	341
146	58	341
147	59	340
148	59	340
149	59	339
150	60	338
151	60	338
152	61	338
153	61	338
154	61	337
155	62	337
156	62	336
157	63	336
158	63	336
159	63	335
160	64	334
161	64	333
162	64	332
163	65	332
164	65	331
165	66	331
166	66	331
167	66	330
168	67	330
169	67	330
170	68	330
171	68	330
172	69	330
173	69	330
174	70	330
175	70	329
176	70	329
177	71	328
178	71	329
179	72	329
180	72	330
181	73	330
182	73	329
183	74	330
184	75	330
185	75	330
186	75	330
187	76	329
188	76	329
189	77	329
190	77	329
191	78	328
192	78	328
193	79	328
194	79	328
195	79	327
196	80	327
197	80	326
198	81	326
199	81	325
200	82	326
201	82	326
202	83	326
203	83	326
204	84	326
205	84	325
206	84	325
207	85	324
208	85	324
209	86	324
210	86	324
211	87	324
212	87	324
213	88	325
214	89	325
215	89	325
216	90	325
217	90	325
218	91	325
219	91	325
220	92	325
221	92	324
222	93	324
223	93	324
224	94	323
225	94	323
226	94	323
227	95	324
228	96	324
229	96	324
230	97	324
231	97	324
232	98	323
233	98	323
234	99	322
235	99	322
236	100	324
237	101	323
238	101	323
239	102	323
240	102	322
241	102	321
242	103	321
243	103	321
244	104	320
245	104	320
246	105	320
247	105	320
